Source,Target,Weight,nt_type_banc,across_hemi_layer_pre,across_hemi_layer_post
pC2lb,AVLP_pr36/asp10a-1,418,Ach,,
pC2la,pMN1,418,Ach,,5.233974359
JO-B,B1-6,413,Ach,,
B2,B1-7,410,GABA,2.444978632,
B1-5,SAD_pr02,408,Ach,,
pC2lb,pC2lb,405,Ach,,
pC2la,pMN1,403,Ach,,
aPN2,aPN2,399,Ach,,
SAD_pr02,WV-WV-3,393,GABA,,
vpoEN,pC2lb,391,Ach,,
WED_pr02,B1-1,381,GABA,,
WV-WV-2,WV-WV-2,376,GABA,,
B2,B1-3,366,GABA,,
B1-4,GF,365,Ach,,3.323717949
WED-VLP-1,WED-VLP-1,364,Ach,,
pC2lb,pC2la,363,Ach,,
AVLP_pr01-1,WED-VLP-1,360,GABA,,
JO-B,aPN2,354,Ach,,
aPN3,B1-5,354,GLUT,,
B2,B1-4,353,GABA,,
WED_pr02,JO-B,348,GABA,,
JO-B,JO-B,343,Ach,,
WED_pr02,WV-WV-1,334,GABA,,2.711538462
A1,A1,332,inconclusive,,
WV-WV-1,WED_pr02,328,GABA,,
B1-4,GF,327,Ach,,
WED-VLP-2,WV-WV-1,320,Ach,,2.711538462
JO-A,JO-A,319,Ach,,
JO-A,WV-WV-3,307,Ach,,2.675824176
vpoEN,AVLP_pr36/asp10a-1,306,Ach,,
JO-A,WV-WV-2,296,Ach,,
B1-u,WV-WV-1,294,Ach,,2.711538462
JO-B,GF,291,Ach,,
B1-3,WV-WV-1,291,Ach,,
JO-B,WV-WV-2,290,Ach,,
B1-u,WED-VLP-1,290,Ach,,
WV-WV-3,B1-4,290,GABA,,
B2,B1-3,283,GABA,2.444978632,
vpoIN-1,pC2lb,280,GABA,,
B1-5,B1-5,277,Ach,,
WED_pr02,WV-WV-2,277,GABA,,3.419337607
WV-WV-3,A1,271,GABA,,3.896367521
B1-3,WV-WV-3,265,Ach,,
B1-1,WED-VLP-1,263,Ach,2.127747253,
JO-B,SAD_pr02,262,Ach,,
AVLP_pr01-1,WV-WV-1,260,GABA,,
WED_pr01-1,WED_pr01-1,253,Ach,,
AVLP_pr01-1,A2,251,GABA,,
JO-B,IPS_pr02,251,Ach,,3.355769231
WED-VLP-1,AVLP_pr01-2,248,Ach,,4.044471154
AVLP_pr36/asp10a-1,pC2lb,246,Ach,,
AVLP_pr36/asp10a-1,PVLP_pr03-2,244,Ach,,
B1-u,WED-VLP-2,242,Ach,,
B1-2,WV-WV-3,234,Ach,,
JO-A,B1-5,230,Ach,,
WV-WV-1,WED-VLP-2,225,GABA,2.711538462,
WED_pr02,vpoEN,221,GABA,,
WV-WV-4,A2,221,GABA,,
WED_pr02,WED-VLP-1,218,GABA,3.382386364,
AVLP_pr01-2,WED-VLP-2,217,GABA,,
JO-A,B1-u,216,Ach,,
WED_pr02,A2,216,GABA,,2.304487179
B2,B1-4,214,GABA,2.444978632,
B1-2,AVLP_pr01-1,209,Ach,,
WED-VLP-2,AVLP_pr01-2,208,Ach,,4.044471154
A1,A1,207,inconclusive,3.896367521,
JO-A,AVLP_pr23,207,Ach,,
JO-B,WV-WV-1,207,Ach,,
B1-3,WV-WV-2,206,Ach,2.726762821,
JO-A,WED_pr02,204,Ach,,
B1-5,WV-WV-2,203,Ach,,
B1-1,WED-VLP-1,201,Ach,,3.255681818
WED-VLP-1,pC2lb,201,Ach,,
WED_pr02,WV-WV-4,199,GABA,,3.227564103
JO-B,IPS_pr02,198,Ach,,
WV-WV-3,WV-WV-3,198,GABA,,2.675824176
A2,AVLP_pr01-1,198,Ach,2.304487179,
B1-6,IPS_pr01-1,197,Ach,,
JO-B,GF,197,Ach,,3.323717949
JO-B,WED_pr02,194,Ach,,
WV-WV-1,WV-WV-1,191,GABA,,2.711538462
A2,AVLP_pr23,190,Ach,,3.192307692
B1-2,WV-WV-2,189,Ach,,3.419337607
AVLP_pr36/asp10a-1,AVLP_pr12,186,Ach,,
WV-WV-2,WV-WV-3,185,GABA,,
aPN3,aPN2,185,GLUT,,
A2,AVLP_pr23,185,Ach,,
AVLP_pr36/asp10a-1,pC2la,185,Ach,,
B2,B1-6,182,GABA,2.444978632,
B1-u,WED_pr02,181,Ach,,
WED_pr02,B1-u,181,GABA,,
JO-A,AVLP_pr23,180,Ach,,3.192307692
B1-6,WV-WV-3,179,Ach,,
WED_pr02,AVLP_pr23,178,GABA,,3.192307692
WED-VLP-1,vpoIN-3,176,Ach,,
B1-2,WED_pr02,175,Ach,,3.382386364
WED_pr02,B1-5,173,GABA,,3.178858481
B1-2,WED-VLP-2,171,Ach,2.422676282,
AVLP_pr01-1,vpoEN,170,GABA,,3.688301282
JO-B,B1-4,169,Ach,,2.766254579
WED-VLP-2,vpoEN,168,Ach,,
B1-2,WED_pr02,168,Ach,2.422676282,
pC2lb,pMN1,165,Ach,,5.233974359
SAD_pr02,B1-3,162,GABA,,
WED_pr02,GF,161,GABA,,3.323717949
B1-u,WED-VLP-2,161,Ach,3.557692308,
AVLP/PVLP_pr01-2,A1,160,Ach,,
pC2lb,pMN1,157,Ach,,
B1-2,WV-WV-2,156,Ach,2.422676282,
GNG_pr01-1,A1,156,GABA,,
vpoIN-1,pMN2,156,GABA,,5.352564103
WV-WV-3,A2,153,GABA,,
WED_pr02,GF,147,GABA,,
vpoEN,pC2lb,145,Ach,3.688301282,
pC2lb,AVLP_pr36/asp10a-1,145,Ach,4.946714744,
B1-2,WED-VLP-2,143,Ach,,3.481730769
vpoEN,pMN1,138,Ach,,
B1-7,WV-WV-3,138,Ach,,
B1-1,AVLP_pr23,137,Ach,,3.192307692
WED-VLP-2,AVLP_pr01-2,137,Ach,3.481730769,
B1-4,B1-4,136,Ach,,
B1-4,AVLP/PVLP_pr01-2,135,Ach,,
WV-WV-1,B1-2,134,GABA,,
B1-5,B1-7,134,Ach,,
B1-6,aPN3,130,Ach,,4.993589744
WV-WV-1,WV-WV-2,129,GABA,,
B1-u,WV-WV-1,129,Ach,,
vpoEN,AVLP_pr36/asp10a-1,129,Ach,3.688301282,
WV-WV-3,GF,128,GABA,2.675824176,
A2,AVLP_pr01-1,127,Ach,2.304487179,2.782371795
B1-2,WED-VLP-1,127,Ach,,
pC2lb,pC2lb,127,Ach,,4.946714744
SAD_pr02,WV-WV-3,127,GABA,2.529761905,
AVLP_pr23,AVLP/PVLP_pr01-2,126,Ach,3.192307692,
JO-B,B1-6,126,Ach,,4.153846154
B1-7,SAD_pr02,126,Ach,,
B2,B1-6,126,GABA,,
aPN2,IPS_pr02,125,Ach,,
WV-WV-3,SAD_pr02,124,GABA,,
WED-VLP-1,vpoIN-3,124,Ach,,3.921474359
B1-2,B1-2,121,Ach,,
B2,B1-3,120,GABA,,2.726762821
vpoIN-1,pMN2,120,GABA,,
B1-u,WED-VLP-2,119,Ach,,3.481730769
B1-1,WED-VLP-2,118,Ach,,
B1-1,WV-WV-1,117,Ach,2.127747253,2.711538462
JO-B,AVLP_pr23,116,Ach,,3.192307692
AVLP_pr36/asp10a-1,pMN1,116,Ach,,
aPN3,B1-4,115,GLUT,,
A2,WV-WV-4,115,Ach,,
WV-WV-3,B1-5,114,GABA,,
IPS_pr01-1,WED_pr01-1,113,GABA,,
JO-A,AVLP_pr01-1,113,Ach,,2.782371795
pC2lb,PVLP_pr03-2,113,Ach,,
AVLP_pr01-1,AVLP_pr01-2,113,GABA,,
WED_pr02,WED-VLP-2,112,GABA,3.382386364,
A1,A1,112,inconclusive,,3.896367521
WED-VLP-1,AVLP_pr01-1,111,Ach,,2.782371795
pC2lb,pC2la,111,Ach,4.946714744,
A2,AVLP_pr01-1,110,Ach,,2.782371795
aPN2,IPS_pr02,110,Ach,,3.355769231
WV-WV-3,GF,110,GABA,2.675824176,3.323717949
WED-VLP-1,pC2lb,109,Ach,,4.946714744
B2,B1-6,108,GABA,,4.153846154
WV-WV-3,WV-WV-2,107,GABA,,
WED_pr02,B1-3,107,GABA,,2.726762821
B1-4,WV-WV-2,106,Ach,,
AVLP_pr01-2,WED-VLP-1,106,GABA,4.044471154,
WED-VLP-2,WED_pr02,105,Ach,,3.382386364
B1-4,WED_pr01-1,105,Ach,,
JO-B,SAD_pr01,105,Ach,,
B1-5,AVLP_pr04,105,Ach,,
SAD_pr02,B1-5,105,GABA,,
pC2la,pC1d,102,Ach,,5.790064103
B1-u,WED_pr01-1,102,Ach,,
B1-7,WED_pr01-1,101,Ach,,
B1-u,WV-WV-3,100,Ach,,
B1-1,B1-1,100,Ach,,
JO-A,WV-WV-1,100,Ach,,2.711538462
vpoIN-1,pC1e,99,GABA,,
SAD_pr01,GF,99,GABA,2.352564103,
WED_pr02,AVLP_pr23,99,GABA,,
aPN3,IPS_pr02,97,GLUT,,
B1-1,AVLP_pr23,97,Ach,,
IPS_pr01-2,WED_pr01-2,97,GABA,,
B2,B2,97,GABA,,
WV-WV-1,AVLP_pr01-1,97,GABA,,2.782371795
B1-u,WED_pr02,96,Ach,3.557692308,
A1,GF,95,inconclusive,,3.323717949
SAD_pr02,A2,95,GABA,,
WV-WV-1,WED-VLP-1,94,GABA,,3.255681818
SAD_pr02,WV-WV-1,94,GABA,,
pC2lb,pC2lb,94,Ach,4.946714744,
A2,WV-WV-4,94,Ach,,3.227564103
WV-WV-1,AVLP_pr23,93,GABA,,3.192307692
SAD_pr01,B1-2,92,GABA,2.352564103,
A2,WV-WV-2,92,Ach,,
pC2la,pC1d,91,Ach,,
WED_pr01-1,IPS/WED_pr01,91,Ach,,
A1,GF,90,inconclusive,,
WED-VLP-1,AVLP_pr01-3,89,Ach,,
vpoEN,pMN1,89,Ach,3.688301282,5.233974359
B1-6,WV-WV-3,89,Ach,4.153846154,
B1-3,SAD_pr02,88,Ach,,
SAD_pr02,B1-4,87,GABA,,
B2,B1-u,87,GABA,,
B1-4,WV-WV-3,86,,,
AVLP_pr23,A1,86,Ach,,
WED_pr02,JO-A,86,GABA,,
WED-VLP-2,WV-WV-1,86,Ach,,
vpoEN,pMN1,85,Ach,,5.233974359
WV-WV-4,SAD_pr02,82,GABA,3.227564103,
pC2la,pC2la,81,Ach,,
B1-1,AVLP_pr01-1,81,Ach,,
WED-VLP-2,AVLP_pr22,81,Ach,,
WV-WV-3,AVLP/PVLP_pr01-2,80,GABA,,
WV-WV-4,A2,80,GABA,,2.304487179
AVLP_pr01-1,AVLP_pr02,80,GABA,,
vpoEN,pC2la,78,Ach,,
A2,WV-WV-3,78,Ach,,
AVLP_pr01-2,vpoEN,78,GABA,,
JO-A,WED-VLP-1,78,Ach,,
AVLP_pr01-2,AVLP_pr01-2,78,GABA,,
B1-4,A1,77,,,
B2,WV-WV-3,77,GABA,,
WV-WV-4,A2,77,GABA,3.227564103,
WED-VLP-2,AVLP_pr01-1,76,Ach,,
AVLP_pr36/asp10a-1,pMN1,76,Ach,,5.233974359
AVLP_pr01-2,AVLP_pr22,76,GABA,,
vpoIN-1,pC1e,75,GABA,,6.227564103
WED-VLP-1,AVLP_pr32,75,Ach,,4.680555556
B1-4,SAD_pr02,75,Ach,,
AVLP_pr01-1,vpoEN,74,GABA,2.782371795,3.688301282
WED-VLP-1,WV-WV-1,74,Ach,,
B1-5,WV-WV-2,74,Ach,3.178858481,
vpoEN,pMN2,74,Ach,,
B1-5,GF,74,Ach,,
JO-A,B1-7,74,Ach,,3.024906517
JO-B,IPS_pr01-2,73,Ach,,2.779647436
AVLP_pr36/asp10a-1,pC1d,73,Ach,,
B1-3,AVLP_pr23,73,Ach,,
B1-u,WV-WV-1,73,Ach,3.557692308,2.711538462
PVLP_pr03-3,A1,73,GABA,,
aPN2,IPS/WED_pr01,72,Ach,,
B1-1,B1-2,72,Ach,,
GNG_pr01-1,A1,69,GABA,5.061298077,
AVLP_pr23,AVLP_pr23,69,Ach,3.192307692,
WV-WV-2,WED-VLP-2,69,GABA,,
AVLP_pr23,AVLP/PVLP_pr01-2,69,Ach,,
vpoIN-1,pC2lb,68,GABA,,4.946714744
aPN3,IPS_pr02,68,GLUT,,3.355769231
B1-2,WV-WV-1,68,Ach,2.422676282,
WED-VLP-1,AVLP_pr01-2,68,Ach,3.255681818,
WV-WV-2,WV-WV-1,67,GABA,,
WED-VLP-2,pC2lb,67,Ach,,
WV-WV-1,AVLP_pr23,66,GABA,,
AVLP_pr23,A1,65,Ach,3.192307692,
A2,AVLP_pr23,65,Ach,2.304487179,3.192307692
WED_pr02,vpoEN,65,GABA,,3.688301282
WED-VLP-1,AVLP_pr01-1,65,Ach,3.255681818,
SAD_pr02,B1-2,64,GABA,,
B1-6,WED_pr01-1,64,Ach,,
aPN3,B1-5,64,GLUT,4.993589744,
WED-VLP-1,AVLP_pr31,64,Ach,,4.337873932
SAD_pr01,GF,63,GABA,,3.323717949
B2,B1-2,63,GABA,,2.422676282
B2,B1-5,63,GABA,,3.178858481
WV-WV-1,WV-WV-3,62,GABA,,2.675824176
vpoEN,pMN2,62,Ach,3.688301282,5.352564103
PVLP_pr03-3,GF,62,GABA,,
B1-2,WV-WV-4,62,Ach,,3.227564103
WED-VLP-2,AVLP_pr31,61,Ach,,
vpoEN,pMN2,61,Ach,,5.352564103
A2,WED-VLP-1,61,Ach,,3.255681818
vpoIN-1,pMN2,61,GABA,5.360897436,5.352564103
B1-3,AVLP_pr23,60,Ach,,3.192307692
WV-WV-3,SAD_pr01,60,GABA,,
B1-5,WED_pr01-1,60,Ach,,4.180128205
WV-WV-2,WED_pr02,60,GABA,3.419337607,
AVLP_pr36/asp10a-1,pC1d,59,Ach,,5.790064103
AVLP_pr01-2,WED-VLP-2,59,GABA,4.044471154,
B1-4,WV-WV-2,59,,,
AVLP_pr36/asp10a-1,pC2lb,59,Ach,,4.946714744
vpoEN,pC1d,59,Ach,,
JO-A,B1-7,59,Ach,,
B1-u,SAD_pr02,58,Ach,,
IPS_pr02,B1-6,58,GABA,,
B2,B1-u,57,GABA,2.444978632,
A2,AVLP_pr23,57,Ach,2.304487179,
aPN2,aPN2,57,Ach,4.389880952,
AVLP_pr23,vpoEN,57,Ach,3.192307692,
AVLP_pr18-2,AVLP_pr18-2,57,Inconclusive,5.818910256,
JO-B,AVLP_pr23,57,Ach,,
WED_pr02,WV-WV-4,56,GABA,,
B1-3,WV-WV-2,56,Ach,,3.419337607
SAD_pr02,JO-A,56,GABA,2.529761905,
WED-VLP-2,AVLP_pr01-2,56,Ach,3.481730769,4.044471154
WV-WV-1,WV-WV-3,56,GABA,,
pC1d,AVLP_pr36/asp10a-1,56,Ach,,
B1-u,AVLP/PVLP_pr01-2,56,Ach,,
JO-A,WV-WV-4,55,Ach,,
WV-WV-3,WV-WV-3,55,GABA,2.675824176,
JO-B,SAD_pr02,55,Ach,,2.529761905
vpoIN-1,pC2lb,55,GABA,5.360897436,
B1-5,A1,55,Ach,,
WV-WV-2,SAD_pr02,55,GABA,,
AVLP_pr12,AVLP_pr12,55,Ach,,
JO-A,B2,54,Ach,,
WV-WV-1,WED-VLP-2,54,GABA,,3.481730769
pC2la,pMN1,54,Ach,5.722467058,5.233974359
WED-VLP-2,vpoEN,54,Ach,,3.688301282
WED-VLP-1,AVLP_pr31,53,Ach,3.255681818,
B1-5,AVLP_pr04,53,Ach,,5.858974359
AVLP_pr23,AVLP_pr23,53,Ach,,3.192307692
WED_pr02,WED-VLP-1,53,GABA,,3.255681818
AVLP_pr02,pC2lb,53,GABA,,
JO-B,B2,52,Ach,,2.444978632
A2,WED-VLP-1,52,Ach,2.304487179,3.255681818
B1-1,WV-WV-2,52,Ach,,
A2,WV-WV-2,52,Ach,2.304487179,
AVLP_pr01-1,vpoEN,51,GABA,2.782371795,
A2,WV-WV-4,51,Ach,2.304487179,
SAD_pr01,JO-B,51,GABA,,
A2,WV-WV-1,50,Ach,,
B1-6,IPS_pr01-1,50,Ach,,4.553632479
pMN2,pC1d,49,Ach,,
aPN2,B1-5,49,Ach,,
SAD_pr02,A2,49,GABA,,2.304487179
vpoIN-1,AVLP_pr36/asp10a-1,49,GABA,,
AVLP_pr01-1,A2,48,GABA,,2.304487179
WED_pr02,B1-2,48,GABA,3.382386364,
WED-VLP-2,pC2lb,48,Ach,,4.946714744
PVLP_pr03-1,PVLP_pr03-1,48,GABA,,
aPN2,aPN2,48,Ach,,4.389880952
B1-2,WV-WV-1,48,Ach,2.422676282,2.711538462
A2,WV-WV-4,48,Ach,2.304487179,3.227564103
SAD_pr01,JO-B,48,GABA,2.352564103,
AVLP/PVLP_pr01-2,GF,47,Ach,,3.323717949
PVLP_pr03-3,GF,47,GABA,4.840544872,3.323717949
WED_pr02,WV-WV-3,47,GABA,,
B1-u,B1-2,47,Ach,,
pMN2,pC1d,47,Ach,5.352564103,5.790064103
B2,B1-5,47,GABA,2.444978632,
WED_pr02,A2,46,GABA,3.382386364,
B1-6,IPS_pr01-1,46,Ach,4.153846154,
B1-u,B1-1,46,Ach,,
PVLP_pr03-3,A1,46,GABA,4.840544872,
B1-5,GF,46,Ach,,3.323717949
IPS_pr01-2,WED_pr01-2,45,GABA,,4.221153846
WED-VLP-2,WED_pr02,45,Ach,3.481730769,
vpoIN-2,pMN2,45,GABA,,5.352564103
AVLP/PVLP_pr01-2,GF,45,Ach,,
B1-2,SAD_pr02,45,Ach,,
B1-u,WV-WV-2,44,Ach,,
pC2lb,pMN2,44,Ach,,5.352564103
IPS_pr02,B1-6,44,GABA,3.355769231,
A2,WED-VLP-2,44,Ach,,
B1-4,WED_pr01-1,44,Ach,2.766254579,
WED-VLP-2,AVLP_pr22,43,Ach,3.481730769,
SAD_pr02,WV-WV-2,43,GABA,,
WED-VLP-2,WED-VLP-2,43,Ach,,
aPN3,IPS_pr02,43,GLUT,4.993589744,3.355769231
AVLP_pr18-2,AVLP_pr18-2,43,Inconclusive,,5.818910256
IPS_pr01-2,WED_pr01-1,43,GABA,,
GNG_pr01-1,A1,43,GABA,,3.896367521
AVLP_pr02,pC2lb,42,GABA,3.774038462,
B1-1,B1-u,42,Ach,,
WV-WV-2,B1-5,41,GABA,,
B1-u,B1-u,41,Ach,,
B1-3,WV-WV-1,41,Ach,2.726762821,
WED_pr02,WED-VLP-2,41,GABA,,3.481730769
WV-WV-1,WED-VLP-1,41,GABA,2.711538462,3.255681818
B1-1,WED_pr02,41,Ach,,3.382386364
A2,WV-WV-2,41,Ach,,3.419337607
B1-4,WV-WV-3,41,,,2.675824176
WED_pr02,WV-WV-4,40,GABA,3.382386364,3.227564103
WED-VLP-1,AVLP_pr32,40,Ach,,
WED_pr02,WED-VLP-2,40,GABA,3.382386364,3.481730769
JO-B,WV-WV-1,40,Ach,,2.711538462
WV-WV-1,WV-WV-2,40,GABA,,3.419337607
WED_pr02,WV-WV-1,40,GABA,3.382386364,
B1-4,B1-7,39,Ach,,
A2,WV-WV-2,39,Ach,2.304487179,3.419337607
B2,B1-7,39,GABA,,3.024906517
AVLP_pr01-1,WED-VLP-1,39,GABA,2.782371795,
JO-B,SAD_pr01,39,Ach,,2.352564103
B1-2,AVLP_pr23,39,Ach,2.422676282,
pC2lb,pC2la,39,Ach,,5.722467058
B1-2,B1-u,39,Ach,,
IPS_pr01-1,WED_pr01-1,39,GABA,,4.180128205
WV-WV-1,WED_pr02,38,GABA,2.711538462,3.382386364
WV-WV-2,SAD_pr02,38,GABA,3.419337607,
B1-6,A1,38,Ach,,
AVLP_pr23,AVLP/PVLP_pr01-2,38,Ach,,4.173076923
vpoIN-2,pMN2,37,GABA,5.345619658,5.352564103
vpoIN-1,pMN1,37,GABA,,5.233974359
A1,GF,37,inconclusive,3.896367521,
WED_pr01-1,WED_pr01-1,37,Ach,4.180128205,
aPN3,B1-4,37,GLUT,,2.766254579
vpoIN-1,pMN1,36,GABA,,
AVLP_pr01-2,vpoEN,36,GABA,,3.688301282
B1-3,B1-3,36,Ach,,
B1-1,WV-WV-3,36,Ach,,
B1-1,WV-WV-1,36,Ach,2.127747253,
B1-2,B1-1,35,Ach,,
vpoEN,pC1d,35,Ach,3.688301282,5.790064103
WV-WV-3,B1-4,35,GABA,,2.766254579
WV-WV-1,WED-VLP-2,35,GABA,2.711538462,3.481730769
vpoIN-2,pC2lb,35,GABA,5.345619658,
WV-WV-2,WV-WV-2,34,GABA,3.419337607,
IPS_pr02,IPS_pr01-2,34,GABA,3.355769231,
B1-u,WED_pr02,33,Ach,,3.382386364
AVLP_pr01-1,vpoIN-3,33,GABA,,
SAD_pr02,B1-u,33,GABA,,
GNG_pr01-1,A1,33,GABA,5.061298077,3.896367521
vpoIN-3,AVLP_pr31,33,GABA,,
WED_pr02,JO-B,33,GABA,3.382386364,
WED_pr02,A2,32,GABA,3.382386364,2.304487179
aPN2,IPS_pr01-1,32,Ach,,
vpoEN,pC2lb,32,Ach,3.688301282,4.946714744
WV-WV-1,SAD_pr02,32,GABA,,
vpoIN-1,pC1e,32,GABA,5.360897436,6.227564103
WV-WV-2,WV-WV-1,32,GABA,,2.711538462
AVLP_pr36/asp10a-2,vpoIN-2,32,Ach,,
WV-WV-4,WV-WV-1,32,GABA,3.227564103,
WV-WV-3,SAD_pr01,32,GABA,,2.352564103
A2,WED_pr02,32,Ach,,
B1-u,WV-WV-2,32,Ach,3.557692308,
B1-4,SAD_pr01,32,Ach,,
WED-VLP-2,AVLP_pr01-3,32,Ach,,5.290064103
pC2la,PVLP_pr03-2,32,Ach,,
AVLP_pr23,vpoEN,32,Ach,,
JO-A,SAD_pr02,32,Ach,,2.529761905
B1-7,B1-u,32,Ach,3.024906517,
B1-u,WV-WV-1,31,Ach,3.557692308,
B1-2,AVLP_pr01-1,31,Ach,2.422676282,
AVLP_pr22,PVLP_pr03-3,31,Ach,,
JO-B,WV-WV-3,31,Ach,,2.675824176
AVLP_pr01-1,AVLP_pr23,31,GABA,,3.192307692
AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,31,Ach,5.376371083,
WV-WV-3,JO-A,31,GABA,,
WV-WV-4,WV-WV-1,30,GABA,,
B1-u,B1-5,30,Ach,,
WED_pr01-1,IPS/WED_pr01,30,Ach,4.180128205,
WV-WV-3,A1,30,GABA,2.675824176,
B1-4,GF,30,,,
WED-VLP-1,AVLP_pr01-1,30,Ach,3.255681818,2.782371795
AVLP_pr23,WV-WV-3,30,Ach,3.192307692,
B1-3,B1-5,30,Ach,,
WED-VLP-1,AVLP_pr01-3,30,Ach,,5.290064103
B1-6,A1,30,Ach,4.153846154,
PVLP_pr03-3,AVLP_pr31,30,GABA,,
AVLP_pr01-1,WED-VLP-1,30,GABA,,3.255681818
B1-1,WED-VLP-1,30,Ach,2.127747253,3.255681818
B1-5,B1-4,29,Ach,,
AVLP_pr01-1,WV-WV-1,29,GABA,,2.711538462
WED-VLP-1,AVLP_pr02,29,Ach,,
B1-2,AVLP_pr23,29,Ach,2.422676282,3.192307692
AVLP/PVLP_pr01-2,A1,29,Ach,,3.896367521
A2,A2,29,Ach,2.304487179,
JO-B,WED_pr02,28,Ach,,3.382386364
WV-WV-4,WED-VLP-2,28,GABA,3.227564103,
vpoEN,pC1d,28,Ach,,5.790064103
B1-u,AVLP_pr23,28,Ach,,3.192307692
WV-WV-3,WV-WV-1,28,GABA,,
WV-WV-3,WV-WV-1,28,GABA,,2.711538462
B1-5,AVLP_pr05-1,28,Ach,,
vpoIN-3,pC2lb,28,GABA,3.921474359,
WED_pr02,WV-WV-1,28,GABA,3.382386364,2.711538462
pC1d,AVLP_pr36/asp10a-1,27,Ach,5.790064103,5.376371083
pC1d,AVLP_pr36/asp10a-1,27,Ach,5.790064103,
B1-2,B1-4,27,Ach,,
B1-u,AVLP_pr23,27,Ach,3.557692308,3.192307692
B1-5,WV-WV-1,27,Ach,,
WED_pr01-1,IPS_pr01-1,27,Ach,,
B1-3,A1,27,Ach,,
A2,A2,27,Ach,,2.304487179
AVLP_pr01-1,vpoIN-3,27,GABA,,3.921474359
B2,WV-WV-2,27,GABA,,
WED-VLP-1,WED_pr02,26,Ach,3.255681818,
PVLP_pr03-1,PVLP_pr03-1,26,GABA,,6.131009615
pC2la,pC1e,26,Ach,,6.227564103
