type_pre,type_post,nt_type_banc,syn_count
B1-5,AVLP_pr04,Ach,136
PVLP_pr03-3,GF,GABA,133
B1-7,WV-WV-3,Ach,133
IPS_pr01-1,WED_pr01-1,GABA,131
AVLP_pr01-1,AVLP_pr01-2,GABA,130
JO-B,SAD_pr01,Ach,130
SAD_pr02,A2,GABA,129
WED-VLP-2,AVLP_pr22,Ach,124
B1-2,WED-VLP-1,Ach,122
B1-5,GF,Ach,122
WED-VLP-1,AVLP_pr01-3,Ach,119
AVLP_pr01-2,vpoEN,GABA,118
B1-5,WV-WV-2,Ach,118
B1-4,WV-WV-3,,117
JO-A,B1-7,Ach,116
WED-VLP-1,AVLP_pr32,Ach,115
B1-7,SAD_pr02,Ach,115
JO-A,WED_pr02,Ach,114
SAD_pr02,B1-3,GABA,111
AVLP_pr36/asp10a-1,pMN1,Ach,110
pC2la,pC1d,Ach,109
WV-WV-3,SAD_pr02,GABA,108
B1-4,AVLP/PVLP_pr01-2,Ach,108
AVLP_pr23,AVLP_pr23,Ach,107
AVLP_pr01-1,AVLP_pr02,GABA,105
WED_pr01-1,IPS/WED_pr01,Ach,105
WV-WV-3,WV-WV-2,GABA,103
B1-u,WV-WV-3,Ach,99
B1-4,WED_pr01-1,Ach,99
AVLP_pr01-2,AVLP_pr01-2,GABA,97
AVLP_pr23,vpoEN,Ach,96
AVLP_pr01-2,AVLP_pr22,GABA,96
B1-5,B1-7,Ach,95
IPS_pr02,B1-6,GABA,93
B1-7,WED_pr01-1,Ach,88
B1-4,WV-WV-2,Ach,87
WED-VLP-2,AVLP_pr01-1,Ach,85
WV-WV-3,AVLP/PVLP_pr01-2,GABA,85
WV-WV-3,B1-5,GABA,84
B1-4,A1,,82
AVLP_pr36/asp10a-1,AVLP_pr12,Ach,82
SAD_pr02,B1-5,GABA,82
WV-WV-1,WV-WV-3,GABA,82
B2,WV-WV-3,GABA,81
B1-4,SAD_pr02,Ach,81
A2,WV-WV-3,Ach,81
B1-6,A1,Ach,80
vpoIN-2,pMN2,GABA,79
WV-WV-3,SAD_pr01,GABA,77
pMN2,pC1d,Ach,77
WED-VLP-2,AVLP_pr31,Ach,77
SAD_pr01,B1-2,GABA,76
pC1d,AVLP_pr36/asp10a-1,Ach,75
B1-3,AVLP_pr23,Ach,75
B1-u,WED_pr01-1,Ach,73
WV-WV-1,WV-WV-2,GABA,73
vpoEN,pC1d,Ach,71
SAD_pr01,JO-B,GABA,71
WV-WV-2,SAD_pr02,GABA,69
B2,B2,GABA,68
B1-4,SAD_pr01,Ach,68
SAD_pr02,B1-4,GABA,68
B1-5,B1-5,Ach,67
B1-1,AVLP_pr01-1,Ach,66
AVLP_pr18-2,AVLP_pr18-2,Inconclusive,65
B1-4,B1-4,Ach,65
B1-5,A1,Ach,65
AVLP_pr01-1,vpoIN-3,GABA,65
WED-VLP-2,AVLP_pr01-3,Ach,64
B1-6,WED_pr01-1,Ach,63
AVLP_pr36/asp10a-2,vpoIN-2,Ach,62
B1-3,SAD_pr02,Ach,62
AVLP/PVLP_pr01-2,GF,Ach,62
WED-VLP-1,WV-WV-1,Ach,59
SAD_pr02,WV-WV-1,GABA,59
B1-u,WV-WV-2,Ach,56
WV-WV-4,SAD_pr02,GABA,55
WED_pr02,JO-A,GABA,53
vpoIN-3,AVLP_pr31,GABA,52
SAD_pr01,AVLP_pr23,GABA,52
aPN2,IPS/WED_pr01,Ach,52
B1-1,WV-WV-2,Ach,51
B1-u,AVLP_pr23,Ach,51
AVLP_pr36/asp10a-1,pC2la,Ach,51
WV-WV-2,WV-WV-1,GABA,50
WV-WV-1,B1-2,GABA,49
vpoEN,pC2la,Ach,48
vpoIN-1,pMN1,GABA,46
AVLP_pr36/asp10a-1,pC1d,Ach,46
WV-WV-2,WED-VLP-2,GABA,45
JO-A,WED-VLP-1,Ach,45
B1-4,WV-WV-2,,45
IPS_pr02,IPS_pr01-1,GABA,44
AVLP_pr01-1,AVLP_pr23,GABA,43
WED-VLP-2,WED-VLP-2,Ach,43
B1-u,AVLP/PVLP_pr01-2,Ach,42
pC2lb,PVLP_pr03-2,Ach,41
WV-WV-4,WV-WV-1,GABA,41
WED_pr02,WV-WV-3,GABA,40
A2,WED-VLP-2,Ach,40
JO-A,B2,Ach,39
AVLP_pr22,PVLP_pr03-3,Ach,39
B1-u,SAD_pr02,Ach,39
SAD_pr02,B1-2,GABA,37
WED-VLP-1,vpoEN,Ach,37
AVLP_pr23,WV-WV-3,Ach,36
B1-2,WV-WV-4,Ach,36
WV-WV-3,WV-WV-1,GABA,35
AVLP_pr23,AVLP_pr02,Ach,35
aPN2,B1-5,Ach,35
WED-VLP-1,AVLP_pr02,Ach,35
IPS_pr01-2,WED_pr01-1,GABA,35
AVLP_pr04,AVLP_pr11,SER,34
JO-A,WV-WV-4,Ach,34
IPS_pr02,IPS_pr01-2,GABA,34
WV-WV-2,B1-5,GABA,34
B1-5,WV-WV-1,Ach,33
vpoIN-2,AVLP_pr12,GABA,33
AVLP_pr02,pMN2,GABA,33
A2,WV-WV-1,Ach,33
B1-3,GF,Ach,32
WV-WV-3,AVLP_pr23,GABA,32
B1-4,B1-7,Ach,30
WV-WV-1,AVLP_pr01-2,GABA,30
AVLP_pr01-2,vpoIN-3,GABA,29
SAD_pr02,WV-WV-2,GABA,29
SAD_pr02,B1-7,GABA,28
PVLP_pr03-3,AVLP_pr31,GABA,28
B1-4,GF,,28
SAD_pr02,B1-u,GABA,27
B1-5,B1-4,Ach,27
WED_pr01-1,IPS_pr01-1,Ach,27
B2,WV-WV-2,GABA,27
B1-3,A1,Ach,27
B1-2,B1-4,Ach,26
A2,A2,Ach,26
AVLP_pr23,AVLP_pr05-1,Ach,26
B1-1,WV-WV-3,Ach,25
pC2lb,pMN2,Ach,25
aPN2,IPS_pr01-1,Ach,24
WV-WV-4,WED-VLP-2,GABA,24
vpoIN-1,AVLP_pr36/asp10a-1,GABA,24
AVLP_pr18-1,AVLP_pr18-1,Inconclusive,22
A2,WED_pr02,Ach,22
B1-2,A1,Ach,22
B1-7,IPS_pr01-1,Ach,22
WV-WV-1,SAD_pr02,GABA,22
PVLP_pr03-1,PVLP_pr03-1,GABA,21
B1-2,SAD_pr02,Ach,21
AVLP_pr02,pC2lb,GABA,21
AVLP_pr05-3,AVLP_pr18-1,GABA,20
B1-6,GF,Ach,20
